steamid,player_name,is_tracked,weapon_rank,weapon,total_ticks_held,total_shots_fired,total_shots_hit,accuracy_percentage,demos_appeared
76561198155980865,KasaK,True,1,AWP,45930,36,27,75.0,1
76561198155980865,KasaK,True,2,knife,19835,23,0,0.0,1
76561198155980865,KosyaK,True,3,AWP,18244,19,12,63.16,1
76561198155980865,KasaK,True,4,AK-47,13343,103,13,12.62,1
76561198155980865,KasaK,True,5,knife_t,12449,22,0,0.0,1
76561198155980865,KosyaK,True,6,AK-47,12342,96,17,17.71,1
76561198155980865,KasaK,True,7,USP-S,11284,23,0,0.0,1
76561198155980865,KasaK,True,8,Smoke Grenade,10489,11,1,9.09,1
76561198155980865,KosyaK,True,9,High Explosive Grenade,9798,12,8,66.67,2
76561198155980865,KosyaK,True,10,knife,8326,37,0,0.0,2
76561198155980865,KosyaK,True,11,knife_t,7287,20,0,0.0,2
76561198155980865,KosyaK,True,12,M4A4,6896,35,8,22.86,1
76561198155980865,KosyaK,True,13,M4A1-S,6694,42,0,0.0,1
76561198155980865,KosyaK,True,14,USP-S,6477,25,0,0.0,2
76561198155980865,KosyaK,True,15,Glock-18,4163,0,0,0.0,2
76561198155980865,KasaK,True,16,Glock-18,3726,0,0,0.0,1
76561198155980865,KosyaK,True,17,Incendiary Grenade,2537,4,6,150.0,2
76561198155980865,KasaK,True,18,SSG 08,1964,1,1,100.0,1
76561198155980865,KosyaK,True,19,C4 Explosive,1909,0,0,0.0,2
76561198155980865,KosyaK,True,20,Smoke Grenade,1762,5,0,0.0,2
76561198155980865,KasaK,True,21,Flashbang,1626,3,0,0.0,1
76561198155980865,KasaK,True,22,C4 Explosive,1558,0,0,0.0,1
76561198155980865,KasaK,True,23,XM1014,1557,2,6,300.0,1
76561198155980865,KosyaK,True,24,Molotov,1116,2,0,0.0,1
76561198155980865,KosyaK,True,25,Flashbang,938,1,0,0.0,1
76561198155980865,KosyaK,True,26,MP9,845,38,10,26.32,1
76561198155980865,KasaK,True,27,Incendiary Grenade,842,2,5,250.0,1
76561198155980865,KosyaK,True,28,Galil AR,711,3,1,33.33,1
76561198155980865,KosyaK,True,29,Nova,246,1,3,300.0,1
76561198155980865,KosyaK,True,30,MAG-7,170,0,0,0.0,1
76561198155980865,KasaK,True,31,High Explosive Grenade,168,1,0,0.0,1
76561198155980865,KasaK,True,32,Molotov,157,1,0,0.0,1
76561198262157518,arckay.,True,1,AWP,15934,18,8,44.44,1
76561198262157518,arckay.,True,2,USP-S,12859,39,0,0.0,1
76561198262157518,arckay.,True,3,knife,12244,49,0,0.0,1
76561198262157518,arckay.,True,4,AK-47,10195,91,22,24.18,1
76561198262157518,arckay.,True,5,M4A1-S,7932,54,0,0.0,1
76561198262157518,arckay.,True,6,Glock-18,4730,25,8,32.0,1
76561198262157518,arckay.,True,7,knife_t,4347,17,0,0.0,1
76561198262157518,arckay.,True,8,Desert Eagle,3963,12,2,16.67,1
76561198262157518,arckay.,True,9,C4 Explosive,622,0,0,0.0,1
76561198262157518,arckay.,True,10,Flashbang,275,2,0,0.0,1
76561198262157518,arckay.,True,11,High Explosive Grenade,104,1,1,100.0,1
76561198262157518,arckay.,True,12,Zeus x27,33,0,0,0.0,1
76561198816184658,Ms. Rosé,True,1,AK-47,34788,246,39,15.85,3
76561198816184658,XAOC,True,2,AK-47,21291,59,13,22.03,1
76561198816184658,Ms. Rosé,True,3,M4A1-S,20592,83,0,0.0,3
76561198816184658,Ms. Rosé,True,4,knife_t,14918,35,0,0.0,3
76561198816184658,XAOC,True,5,knife,13537,39,0,0.0,1
76561198816184658,Ms. Rosé,True,6,knife,11421,51,1,1.96,3
76561198816184658,Ms. Rosé,True,7,P2000,11160,28,9,32.14,3
76561198816184658,XAOC,True,8,M4A1-S,7766,72,0,0.0,1
76561198816184658,Ms. Rosé,True,9,AWP,6396,5,2,40.0,1
76561198816184658,Ms. Rosé,True,10,C4 Explosive,5613,0,0,0.0,3
76561198816184658,Ms. Rosé,True,11,High Explosive Grenade,5521,11,10,90.91,3
